# FRONT	BACK
What is the LZ in LZ compression?	Lempel-Ziv
What is OS hardware virtualization?	The abstraction of heterogeneous hardware provided by the operating system, to hide the details of interfacing with various hardware so that they share a common interface for that type.
What is a process?	An instance of an executing program consisting of an address space and one or more threads of control. It has restricted rights. It owns a region of memory. It owns file descriptors, file system context. It encapsulates one or more threads sharing the process' resources. It is isolated from other processes.
What is a context switch?	The copying out and in of register state to switch from running one process to running another.
What is the scheduler?	The scheduler manages the priorities of user and OS processes.
What causes operating systems to crash most of the time?	Device drivers. They are in the kernel and very low level. They have access to all the hardware, including memory. They are written by authors outside of the operating system.
What is a process VM?	A virtual environment that supports the execution of a single program. This is provided by an operating system.
What is a system VM?	A virtual environment that supports the execution of an entire operating system and its applications.
How does the OS abstract the environment for a process?	Each process thinks it has all the memory and CPU time, and thinks it owns all devices.
What is fault isolation?	Processes are unable to directly impact other processes. Bugs can't crash the whole machine.
What is a thread?	A single, unique execution context.
What's the maximum address in memory for a 32 bit processor?	2^32 - 1
What is the execution sequence for a program?	"- Fetch instruction
- Decode
- Execute (perhaps using ALU and writing result to a register)
- Write results to registers or memory
- Increment program counter
- Repeat"
What does the program counter point to?	An address in memory that contains the current instruction.
What is the stack pointer?	A register that holds the address of the top of the stack portion of a process' memory.
What is the heap pointer?	A register that holds the address of the top of the heap portion of a process' memory.
What is multiprogramming?	Making one processor appear as multiple processors, each handling one process each.
What triggers a context switch?	Timer interrupt, hardware interrupt, I/O where we're waiting for a read or write to complete (OS doesn't want to waste time waiting), voluntary yield.
What is dual-mode operation?	Hardware provides at least 2 modes: user mode and kernel (aka: supervisor, protected) mode.
How does the OS run a program?	It does an exec from kernel mode (system mode 1). We go to system mode 0, user mode. When the program exits, we switch back to kernel mode.
How does a user program interact with the kernel?	It makes a system call, and the kernel takes over, completes the action, and the kernel returns to the process (back to user mode).
What happens when the hardware needs something to happen?	It does an interrupt, and the kernel takes control, switches the process, and once hardware task is complete, does a return from interrupt back to user mode.
What happens when a program makes an exception?	The program terminates, and switches to kernel mode.
What is base and bound?	It's a memory addressing restriction where a processes are only allowed access to the memory between a base address and the bound + base addresses. Each process has its own base and bound. A drawback is you don't get address 0. Address translation fixes this.
How does the OS know how to handle an interrupt?	It keeps an interrupt vector in the memory of the OS. Each interrupt type is mapped to an address to execute. They are just pointers to code in the OS.
What is the difference between PC and uPC?	PC is the program counter for the current process. uPC is the PC of the user process we will return to once an interrupt or other OS process switches context.
How are base and bound enforced?	They are stored in registers. Access is restricted by the hardware.
How does x86 do segments and stacks?	Each process' individual segments (heap, stack, code, static data) get their own base and bound. They don't even need to be adjacent in memory and their location is hidden by memory addressing.
When a process forks, what happens?	"The process is paused, and a complete copy is made: code, stack, heap, data, program counter and registers.
The child and parent resume with returning from fork syscall."
What does fork() return?	It returns the child process id to the parent, and 0 to the child. < 0 if error.
What does wait() do?	Causes the parent process to pause until the child terminates.
What does exec() do?	It's a system call to change the currently running program to something else.
